Date,News Title,News Description,Source,Sentiment,URL,Type
2025-08-19,"falls companies report currency movements earnings, impacting volatile","On 2025-08-19, Indian stock markets showed volatile movement. falls companies report currency movements earnings, impacting volatile. The NSE Nifty showed falls of 400 points. This was primarily driven by currency movements.",Bloomberg,Positive,https://example.com/news/20250819/3,Synthetic Historical
2025-08-19,rises: Market reacts to sector performance with mixed trend,"On 2025-08-19, Indian stock markets showed mixed movement. rises: Market reacts to sector performance with mixed trend. The BSE Sensex showed rises of 700 points. This was primarily driven by sector performance.",NDTV Profit,Neutral,https://example.com/news/20250819/2,Synthetic Historical
2025-08-19,Rupee jumps against dollar as markets 400,"On 2025-08-19, Indian stock markets showed mixed movement. Rupee jumps against dollar as markets 400. The BSE Sensex showed jumps of 400 points. This was primarily driven by currency movements.",Economic Times,Positive,https://example.com/news/20250819/1,Synthetic Historical
2025-08-19,"BSE, NSE rises: 600 influences trading","On 2025-08-19, Indian stock markets showed steady movement. BSE, NSE rises: 600 influences trading. The BSE Sensex showed rises of 600 points. This was primarily driven by commodity prices.",NDTV Profit,Positive,https://example.com/news/20250819/0,Synthetic Historical
2025-08-18,"rises companies report regulatory changes earnings, impacting negative","On 2025-08-18, Indian stock markets showed negative movement. rises companies report regulatory changes earnings, impacting negative. The NSE Nifty showed rises of 700 points. This was primarily driven by regulatory changes.",Reuters,Negative,https://example.com/news/20250818/2,Synthetic Historical
2025-08-18,"BSE, NSE declines: 100 influences trading","On 2025-08-18, Indian stock markets showed volatile movement. BSE, NSE declines: 100 influences trading. The BSE Sensex showed declines of 100 points. This was primarily driven by budget announcements.",Business Standard,Positive,https://example.com/news/20250818/1,Synthetic Historical
2025-08-18,Market dips: monetary policy sector shows volatile performance,"On 2025-08-18, Indian stock markets showed volatile movement. Market dips: monetary policy sector shows volatile performance. The BSE Sensex showed dips of 700 points. This was primarily driven by monetary policy.",Live Mint,Positive,https://example.com/news/20250818/0,Synthetic Historical
2025-08-15,"falls companies report economic data earnings, impacting volatile","On 2025-08-15, Indian stock markets showed volatile movement. falls companies report economic data earnings, impacting volatile. The NSE Nifty showed falls of 700 points. This was primarily driven by economic data.",CNBC TV18,Positive,https://example.com/news/20250815/1,Synthetic Historical
2025-08-15,Indian shares surges amid 200 developments,"On 2025-08-15, Indian stock markets showed negative movement. Indian shares surges amid 200 developments. The BSE Sensex showed surges of 200 points. This was primarily driven by earnings reports.",CNBC TV18,Neutral,https://example.com/news/20250815/0,Synthetic Historical
2025-08-15,surges: Market reacts to corporate announcements with positive trend,"On 2025-08-15, Indian stock markets showed positive movement. surges: Market reacts to corporate announcements with positive trend. The BSE Sensex showed surges of 100 points. This was primarily driven by corporate announcements.",NDTV Profit,Positive,https://example.com/news/20250815/2,Synthetic Historical
2025-08-15,"gains companies report sector performance earnings, impacting positive","On 2025-08-15, Indian stock markets showed positive movement. gains companies report sector performance earnings, impacting positive. The BSE Sensex showed gains of 200 points. This was primarily driven by sector performance.",Economic Times,Positive,https://example.com/news/20250815/3,Synthetic Historical
2025-08-14,Indian shares declines amid 700 developments,"On 2025-08-14, Indian stock markets showed negative movement. Indian shares declines amid 700 developments. The NSE Nifty showed declines of 700 points. This was primarily driven by foreign investments.",Bloomberg,Neutral,https://example.com/news/20250814/2,Synthetic Historical
2025-08-14,Global cues lead to surges in Indian markets: 300,"On 2025-08-14, Indian stock markets showed mixed movement. Global cues lead to surges in Indian markets: 300. The BSE Sensex showed surges of 300 points. This was primarily driven by sector performance.",ET Now,Neutral,https://example.com/news/20250814/1,Synthetic Historical
2025-08-14,Market dips: budget announcements sector shows negative performance,"On 2025-08-14, Indian stock markets showed negative movement. Market dips: budget announcements sector shows negative performance. The BSE Sensex showed dips of 600 points. This was primarily driven by budget announcements.",Bloomberg,Negative,https://example.com/news/20250814/0,Synthetic Historical
2025-08-13,"RBI policy decision: rises rates, markets 400","On 2025-08-13, Indian stock markets showed steady movement. RBI policy decision: rises rates, markets 400. The NSE Nifty showed rises of 400 points. This was primarily driven by currency movements.",Bloomberg,Positive,https://example.com/news/20250813/1,Synthetic Historical
2025-08-13,Global cues lead to rises in Indian markets: 700,"On 2025-08-13, Indian stock markets showed positive movement. Global cues lead to rises in Indian markets: 700. The NSE Nifty showed rises of 700 points. This was primarily driven by political developments.",Live Mint,Positive,https://example.com/news/20250813/0,Synthetic Historical
2025-08-12,Global cues lead to declines in Indian markets: 200,"On 2025-08-12, Indian stock markets showed steady movement. Global cues lead to declines in Indian markets: 200. The NSE Nifty showed declines of 200 points. This was primarily driven by foreign investments.",Financial Express,Neutral,https://example.com/news/20250812/1,Synthetic Historical
2025-08-12,rises: Market reacts to political developments with negative trend,"On 2025-08-12, Indian stock markets showed negative movement. rises: Market reacts to political developments with negative trend. The BSE Sensex showed rises of 400 points. This was primarily driven by political developments.",CNBC TV18,Neutral,https://example.com/news/20250812/3,Synthetic Historical
2025-08-12,"rises companies report commodity prices earnings, impacting volatile","On 2025-08-12, Indian stock markets showed volatile movement. rises companies report commodity prices earnings, impacting volatile. The NSE Nifty showed rises of 50 points. This was primarily driven by commodity prices.",Financial Express,Positive,https://example.com/news/20250812/2,Synthetic Historical
2025-08-12,Market declines: foreign investments sector shows mixed performance,"On 2025-08-12, Indian stock markets showed mixed movement. Market declines: foreign investments sector shows mixed performance. The NSE Nifty showed declines of 50 points. This was primarily driven by foreign investments.",CNBC TV18,Neutral,https://example.com/news/20250812/0,Synthetic Historical
2025-08-11,Global cues lead to declines in Indian markets: 600,"On 2025-08-11, Indian stock markets showed volatile movement. Global cues lead to declines in Indian markets: 600. The BSE Sensex showed declines of 600 points. This was primarily driven by currency movements.",MoneyControl,Positive,https://example.com/news/20250811/1,Synthetic Historical
2025-08-11,Rupee jumps against dollar as markets 500,"On 2025-08-11, Indian stock markets showed mixed movement. Rupee jumps against dollar as markets 500. The BSE Sensex showed jumps of 500 points. This was primarily driven by economic data.",Financial Express,Positive,https://example.com/news/20250811/0,Synthetic Historical
2025-08-08,"Sensex declines points, Nifty economic data as mixed","On 2025-08-08, Indian stock markets showed mixed movement. Sensex declines points, Nifty economic data as mixed. The NSE Nifty showed declines of 300 points. This was primarily driven by economic data.",ET Now,Positive,https://example.com/news/20250808/2,Synthetic Historical
2025-08-08,Global cues lead to declines in Indian markets: 800,"On 2025-08-08, Indian stock markets showed positive movement. Global cues lead to declines in Indian markets: 800. The BSE Sensex showed declines of 800 points. This was primarily driven by political developments.",MoneyControl,Positive,https://example.com/news/20250808/1,Synthetic Historical
2025-08-08,"dips companies report budget announcements earnings, impacting positive","On 2025-08-08, Indian stock markets showed positive movement. dips companies report budget announcements earnings, impacting positive. The NSE Nifty showed dips of 100 points. This was primarily driven by budget announcements.",Live Mint,Positive,https://example.com/news/20250808/0,Synthetic Historical
2025-08-07,Stock market declines: corporate announcements leads to positive in indices,"On 2025-08-07, Indian stock markets showed positive movement. Stock market declines: corporate announcements leads to positive in indices. The BSE Sensex showed declines of 400 points. This was primarily driven by corporate announcements.",Economic Times,Positive,https://example.com/news/20250807/0,Synthetic Historical
2025-08-07,"BSE, NSE plunges: 100 influences trading","On 2025-08-07, Indian stock markets showed negative movement. BSE, NSE plunges: 100 influences trading. The BSE Sensex showed plunges of 100 points. This was primarily driven by commodity prices.",Live Mint,Neutral,https://example.com/news/20250807/2,Synthetic Historical
2025-08-07,Global cues lead to surges in Indian markets: 800,"On 2025-08-07, Indian stock markets showed steady movement. Global cues lead to surges in Indian markets: 800. The NSE Nifty showed surges of 800 points. This was primarily driven by economic data.",Economic Times,Positive,https://example.com/news/20250807/1,Synthetic Historical
2025-08-07,Market dips: foreign investments sector shows negative performance,"On 2025-08-07, Indian stock markets showed negative movement. Market dips: foreign investments sector shows negative performance. The BSE Sensex showed dips of 200 points. This was primarily driven by foreign investments.",Bloomberg,Negative,https://example.com/news/20250807/3,Synthetic Historical
2025-08-07,Global cues lead to rises in Indian markets: 800,"On 2025-08-07, Indian stock markets showed negative movement. Global cues lead to rises in Indian markets: 800. The BSE Sensex showed rises of 800 points. This was primarily driven by global markets.",Business Standard,Neutral,https://example.com/news/20250807/4,Synthetic Historical
2025-08-06,"RBI policy decision: jumps rates, markets 600","On 2025-08-06, Indian stock markets showed positive movement. RBI policy decision: jumps rates, markets 600. The BSE Sensex showed jumps of 600 points. This was primarily driven by sector performance.",Reuters,Positive,https://example.com/news/20250806/2,Synthetic Historical
2025-08-06,"BSE, NSE declines: 600 influences trading","On 2025-08-06, Indian stock markets showed positive movement. BSE, NSE declines: 600 influences trading. The NSE Nifty showed declines of 600 points. This was primarily driven by commodity prices.",Business Standard,Positive,https://example.com/news/20250806/1,Synthetic Historical
2025-08-06,"Sensex plunges points, Nifty earnings reports as negative","On 2025-08-06, Indian stock markets showed negative movement. Sensex plunges points, Nifty earnings reports as negative. The NSE Nifty showed plunges of 300 points. This was primarily driven by earnings reports.",Business Standard,Negative,https://example.com/news/20250806/0,Synthetic Historical
2025-08-05,Global cues lead to surges in Indian markets: 700,"On 2025-08-05, Indian stock markets showed steady movement. Global cues lead to surges in Indian markets: 700. The NSE Nifty showed surges of 700 points. This was primarily driven by sector performance.",Live Mint,Positive,https://example.com/news/20250805/2,Synthetic Historical
2025-08-05,Indian shares declines amid 200 developments,"On 2025-08-05, Indian stock markets showed negative movement. Indian shares declines amid 200 developments. The NSE Nifty showed declines of 200 points. This was primarily driven by corporate announcements.",Financial Express,Neutral,https://example.com/news/20250805/1,Synthetic Historical
2025-08-05,"RBI policy decision: surges rates, markets 100","On 2025-08-05, Indian stock markets showed negative movement. RBI policy decision: surges rates, markets 100. The BSE Sensex showed surges of 100 points. This was primarily driven by sector performance.",Economic Times,Neutral,https://example.com/news/20250805/0,Synthetic Historical
2025-08-04,Indian shares jumps amid 100 developments,"On 2025-08-04, Indian stock markets showed steady movement. Indian shares jumps amid 100 developments. The NSE Nifty showed jumps of 100 points. This was primarily driven by economic data.",Business Standard,Positive,https://example.com/news/20250804/1,Synthetic Historical
2025-08-04,"RBI policy decision: falls rates, markets 500","On 2025-08-04, Indian stock markets showed negative movement. RBI policy decision: falls rates, markets 500. The BSE Sensex showed falls of 500 points. This was primarily driven by political developments.",Reuters,Neutral,https://example.com/news/20250804/0,Synthetic Historical
2025-08-01,Global cues lead to declines in Indian markets: 50,"On 2025-08-01, Indian stock markets showed negative movement. Global cues lead to declines in Indian markets: 50. The NSE Nifty showed declines of 50 points. This was primarily driven by corporate announcements.",Economic Times,Neutral,https://example.com/news/20250801/3,Synthetic Historical
2025-08-01,Stock market falls: currency movements leads to mixed in indices,"On 2025-08-01, Indian stock markets showed mixed movement. Stock market falls: currency movements leads to mixed in indices. The BSE Sensex showed falls of 200 points. This was primarily driven by currency movements.",Reuters,Neutral,https://example.com/news/20250801/2,Synthetic Historical
2025-08-01,"RBI policy decision: plunges rates, markets 50","On 2025-08-01, Indian stock markets showed negative movement. RBI policy decision: plunges rates, markets 50. The NSE Nifty showed plunges of 50 points. This was primarily driven by political developments.",Economic Times,Neutral,https://example.com/news/20250801/1,Synthetic Historical
2025-08-01,"Sensex falls points, Nifty foreign investments as mixed","On 2025-08-01, Indian stock markets showed mixed movement. Sensex falls points, Nifty foreign investments as mixed. The BSE Sensex showed falls of 700 points. This was primarily driven by foreign investments.",Reuters,Neutral,https://example.com/news/20250801/0,Synthetic Historical
2025-07-31,gains: Market reacts to monetary policy with steady trend,"On 2025-07-31, Indian stock markets showed steady movement. gains: Market reacts to monetary policy with steady trend. The NSE Nifty showed gains of 100 points. This was primarily driven by monetary policy.",Bloomberg,Positive,https://example.com/news/20250731/0,Synthetic Historical
2025-07-31,Rupee plunges against dollar as markets 800,"On 2025-07-31, Indian stock markets showed steady movement. Rupee plunges against dollar as markets 800. The BSE Sensex showed plunges of 800 points. This was primarily driven by currency movements.",Reuters,Positive,https://example.com/news/20250731/1,Synthetic Historical
2025-07-31,Stock market dips: commodity prices leads to positive in indices,"On 2025-07-31, Indian stock markets showed positive movement. Stock market dips: commodity prices leads to positive in indices. The BSE Sensex showed dips of 50 points. This was primarily driven by commodity prices.",Financial Express,Positive,https://example.com/news/20250731/2,Synthetic Historical
2025-07-31,Global cues lead to plunges in Indian markets: 600,"On 2025-07-31, Indian stock markets showed mixed movement. Global cues lead to plunges in Indian markets: 600. The BSE Sensex showed plunges of 600 points. This was primarily driven by global markets.",CNBC TV18,Neutral,https://example.com/news/20250731/3,Synthetic Historical
2025-07-30,Indian shares declines amid 600 developments,"On 2025-07-30, Indian stock markets showed volatile movement. Indian shares declines amid 600 developments. The BSE Sensex showed declines of 600 points. This was primarily driven by foreign investments.",NDTV Profit,Positive,https://example.com/news/20250730/3,Synthetic Historical
2025-07-30,Rupee falls against dollar as markets 100,"On 2025-07-30, Indian stock markets showed steady movement. Rupee falls against dollar as markets 100. The NSE Nifty showed falls of 100 points. This was primarily driven by currency movements.",MoneyControl,Positive,https://example.com/news/20250730/2,Synthetic Historical
2025-07-30,"BSE, NSE rises: 800 influences trading","On 2025-07-30, Indian stock markets showed mixed movement. BSE, NSE rises: 800 influences trading. The BSE Sensex showed rises of 800 points. This was primarily driven by foreign investments.",Live Mint,Neutral,https://example.com/news/20250730/1,Synthetic Historical
2025-07-30,Market dips: foreign investments sector shows positive performance,"On 2025-07-30, Indian stock markets showed positive movement. Market dips: foreign investments sector shows positive performance. The NSE Nifty showed dips of 300 points. This was primarily driven by foreign investments.",Economic Times,Positive,https://example.com/news/20250730/0,Synthetic Historical
2025-07-29,"declines companies report political developments earnings, impacting volatile","On 2025-07-29, Indian stock markets showed volatile movement. declines companies report political developments earnings, impacting volatile. The BSE Sensex showed declines of 700 points. This was primarily driven by political developments.",Business Standard,Neutral,https://example.com/news/20250729/2,Synthetic Historical
2025-07-29,rises: Market reacts to economic data with positive trend,"On 2025-07-29, Indian stock markets showed positive movement. rises: Market reacts to economic data with positive trend. The BSE Sensex showed rises of 800 points. This was primarily driven by economic data.",Business Standard,Positive,https://example.com/news/20250729/1,Synthetic Historical
2025-07-29,Market jumps: sector performance sector shows negative performance,"On 2025-07-29, Indian stock markets showed negative movement. Market jumps: sector performance sector shows negative performance. The NSE Nifty showed jumps of 800 points. This was primarily driven by sector performance.",MoneyControl,Negative,https://example.com/news/20250729/0,Synthetic Historical
2025-07-28,"Sensex dips points, Nifty regulatory changes as positive","On 2025-07-28, Indian stock markets showed positive movement. Sensex dips points, Nifty regulatory changes as positive. The BSE Sensex showed dips of 300 points. This was primarily driven by regulatory changes.",Bloomberg,Positive,https://example.com/news/20250728/4,Synthetic Historical
2025-07-28,declines: Market reacts to monetary policy with mixed trend,"On 2025-07-28, Indian stock markets showed mixed movement. declines: Market reacts to monetary policy with mixed trend. The NSE Nifty showed declines of 700 points. This was primarily driven by monetary policy.",Business Standard,Neutral,https://example.com/news/20250728/3,Synthetic Historical
2025-07-28,plunges: Market reacts to global markets with mixed trend,"On 2025-07-28, Indian stock markets showed mixed movement. plunges: Market reacts to global markets with mixed trend. The NSE Nifty showed plunges of 300 points. This was primarily driven by global markets.",CNBC TV18,Neutral,https://example.com/news/20250728/2,Synthetic Historical
2025-07-28,"Sensex rises points, Nifty budget announcements as mixed","On 2025-07-28, Indian stock markets showed mixed movement. Sensex rises points, Nifty budget announcements as mixed. The BSE Sensex showed rises of 800 points. This was primarily driven by budget announcements.",ET Now,Neutral,https://example.com/news/20250728/1,Synthetic Historical
2025-07-28,falls: Market reacts to corporate announcements with positive trend,"On 2025-07-28, Indian stock markets showed positive movement. falls: Market reacts to corporate announcements with positive trend. The NSE Nifty showed falls of 800 points. This was primarily driven by corporate announcements.",Reuters,Positive,https://example.com/news/20250728/0,Synthetic Historical
2025-07-25,Rupee dips against dollar as markets 300,"On 2025-07-25, Indian stock markets showed positive movement. Rupee dips against dollar as markets 300. The BSE Sensex showed dips of 300 points. This was primarily driven by monetary policy.",Bloomberg,Positive,https://example.com/news/20250725/2,Synthetic Historical
2025-07-25,Global cues lead to plunges in Indian markets: 50,"On 2025-07-25, Indian stock markets showed mixed movement. Global cues lead to plunges in Indian markets: 50. The NSE Nifty showed plunges of 50 points. This was primarily driven by commodity prices.",CNBC TV18,Neutral,https://example.com/news/20250725/1,Synthetic Historical
2025-07-25,Global cues lead to surges in Indian markets: 100,"On 2025-07-25, Indian stock markets showed positive movement. Global cues lead to surges in Indian markets: 100. The NSE Nifty showed surges of 100 points. This was primarily driven by regulatory changes.",Financial Express,Positive,https://example.com/news/20250725/0,Synthetic Historical
2025-07-25,Market surges: foreign investments sector shows mixed performance,"On 2025-07-25, Indian stock markets showed mixed movement. Market surges: foreign investments sector shows mixed performance. The NSE Nifty showed surges of 100 points. This was primarily driven by foreign investments.",ET Now,Neutral,https://example.com/news/20250725/3,Synthetic Historical
2025-07-25,rises: Market reacts to political developments with positive trend,"On 2025-07-25, Indian stock markets showed positive movement. rises: Market reacts to political developments with positive trend. The NSE Nifty showed rises of 200 points. This was primarily driven by political developments.",MoneyControl,Positive,https://example.com/news/20250725/4,Synthetic Historical
2025-07-24,declines: Market reacts to earnings reports with positive trend,"On 2025-07-24, Indian stock markets showed positive movement. declines: Market reacts to earnings reports with positive trend. The BSE Sensex showed declines of 600 points. This was primarily driven by earnings reports.",Business Standard,Positive,https://example.com/news/20250724/0,Synthetic Historical
2025-07-24,gains: Market reacts to regulatory changes with volatile trend,"On 2025-07-24, Indian stock markets showed volatile movement. gains: Market reacts to regulatory changes with volatile trend. The BSE Sensex showed gains of 800 points. This was primarily driven by regulatory changes.",Bloomberg,Positive,https://example.com/news/20250724/1,Synthetic Historical
2025-07-24,"BSE, NSE falls: 700 influences trading","On 2025-07-24, Indian stock markets showed positive movement. BSE, NSE falls: 700 influences trading. The BSE Sensex showed falls of 700 points. This was primarily driven by monetary policy.",ET Now,Positive,https://example.com/news/20250724/2,Synthetic Historical
2025-07-23,"BSE, NSE plunges: 500 influences trading","On 2025-07-23, Indian stock markets showed positive movement. BSE, NSE plunges: 500 influences trading. The NSE Nifty showed plunges of 500 points. This was primarily driven by corporate announcements.",Live Mint,Positive,https://example.com/news/20250723/3,Synthetic Historical
2025-07-23,Stock market falls: sector performance leads to mixed in indices,"On 2025-07-23, Indian stock markets showed mixed movement. Stock market falls: sector performance leads to mixed in indices. The NSE Nifty showed falls of 400 points. This was primarily driven by sector performance.",MoneyControl,Neutral,https://example.com/news/20250723/2,Synthetic Historical
2025-07-23,Market falls: regulatory changes sector shows positive performance,"On 2025-07-23, Indian stock markets showed positive movement. Market falls: regulatory changes sector shows positive performance. The BSE Sensex showed falls of 400 points. This was primarily driven by regulatory changes.",Economic Times,Positive,https://example.com/news/20250723/1,Synthetic Historical
2025-07-23,"falls companies report global markets earnings, impacting steady","On 2025-07-23, Indian stock markets showed steady movement. falls companies report global markets earnings, impacting steady. The NSE Nifty showed falls of 800 points. This was primarily driven by global markets.",CNBC TV18,Positive,https://example.com/news/20250723/0,Synthetic Historical
2025-07-22,"falls companies report political developments earnings, impacting mixed","On 2025-07-22, Indian stock markets showed mixed movement. falls companies report political developments earnings, impacting mixed. The BSE Sensex showed falls of 100 points. This was primarily driven by political developments.",Live Mint,Neutral,https://example.com/news/20250722/3,Synthetic Historical
2025-07-22,Global cues lead to jumps in Indian markets: 800,"On 2025-07-22, Indian stock markets showed steady movement. Global cues lead to jumps in Indian markets: 800. The BSE Sensex showed jumps of 800 points. This was primarily driven by commodity prices.",Reuters,Positive,https://example.com/news/20250722/2,Synthetic Historical
2025-07-22,Stock market jumps: regulatory changes leads to negative in indices,"On 2025-07-22, Indian stock markets showed negative movement. Stock market jumps: regulatory changes leads to negative in indices. The BSE Sensex showed jumps of 300 points. This was primarily driven by regulatory changes.",Financial Express,Negative,https://example.com/news/20250722/1,Synthetic Historical
2025-07-22,Stock market dips: political developments leads to negative in indices,"On 2025-07-22, Indian stock markets showed negative movement. Stock market dips: political developments leads to negative in indices. The BSE Sensex showed dips of 600 points. This was primarily driven by political developments.",ET Now,Neutral,https://example.com/news/20250722/0,Synthetic Historical
2025-07-21,Rupee declines against dollar as markets 400,"On 2025-07-21, Indian stock markets showed volatile movement. Rupee declines against dollar as markets 400. The BSE Sensex showed declines of 400 points. This was primarily driven by global markets.",Reuters,Positive,https://example.com/news/20250721/0,Synthetic Historical
2025-07-21,Market surges: budget announcements sector shows mixed performance,"On 2025-07-21, Indian stock markets showed mixed movement. Market surges: budget announcements sector shows mixed performance. The BSE Sensex showed surges of 50 points. This was primarily driven by budget announcements.",Business Standard,Neutral,https://example.com/news/20250721/1,Synthetic Historical
2025-07-18,"BSE, NSE plunges: 300 influences trading","On 2025-07-18, Indian stock markets showed steady movement. BSE, NSE plunges: 300 influences trading. The NSE Nifty showed plunges of 300 points. This was primarily driven by budget announcements.",Bloomberg,Positive,https://example.com/news/20250718/3,Synthetic Historical
2025-07-18,"Sensex gains points, Nifty currency movements as positive","On 2025-07-18, Indian stock markets showed positive movement. Sensex gains points, Nifty currency movements as positive. The NSE Nifty showed gains of 500 points. This was primarily driven by currency movements.",Business Standard,Positive,https://example.com/news/20250718/2,Synthetic Historical
2025-07-18,"BSE, NSE rises: 600 influences trading","On 2025-07-18, Indian stock markets showed mixed movement. BSE, NSE rises: 600 influences trading. The NSE Nifty showed rises of 600 points. This was primarily driven by political developments.",Live Mint,Positive,https://example.com/news/20250718/1,Synthetic Historical
2025-07-18,Indian shares jumps amid 800 developments,"On 2025-07-18, Indian stock markets showed steady movement. Indian shares jumps amid 800 developments. The NSE Nifty showed jumps of 800 points. This was primarily driven by regulatory changes.",CNBC TV18,Positive,https://example.com/news/20250718/0,Synthetic Historical
2025-07-17,plunges: Market reacts to foreign investments with mixed trend,"On 2025-07-17, Indian stock markets showed mixed movement. plunges: Market reacts to foreign investments with mixed trend. The NSE Nifty showed plunges of 100 points. This was primarily driven by foreign investments.",Bloomberg,Neutral,https://example.com/news/20250717/2,Synthetic Historical
2025-07-17,Indian shares declines amid 600 developments,"On 2025-07-17, Indian stock markets showed negative movement. Indian shares declines amid 600 developments. The BSE Sensex showed declines of 600 points. This was primarily driven by commodity prices.",NDTV Profit,Neutral,https://example.com/news/20250717/1,Synthetic Historical
2025-07-17,"RBI policy decision: surges rates, markets 200","On 2025-07-17, Indian stock markets showed negative movement. RBI policy decision: surges rates, markets 200. The BSE Sensex showed surges of 200 points. This was primarily driven by corporate announcements.",Economic Times,Neutral,https://example.com/news/20250717/0,Synthetic Historical
2025-07-16,Market gains: corporate announcements sector shows mixed performance,"On 2025-07-16, Indian stock markets showed mixed movement. Market gains: corporate announcements sector shows mixed performance. The BSE Sensex showed gains of 700 points. This was primarily driven by corporate announcements.",Bloomberg,Neutral,https://example.com/news/20250716/2,Synthetic Historical
2025-07-16,Market declines: regulatory changes sector shows mixed performance,"On 2025-07-16, Indian stock markets showed mixed movement. Market declines: regulatory changes sector shows mixed performance. The NSE Nifty showed declines of 100 points. This was primarily driven by regulatory changes.",Reuters,Neutral,https://example.com/news/20250716/0,Synthetic Historical
2025-07-16,Rupee rises against dollar as markets 500,"On 2025-07-16, Indian stock markets showed negative movement. Rupee rises against dollar as markets 500. The NSE Nifty showed rises of 500 points. This was primarily driven by monetary policy.",Bloomberg,Neutral,https://example.com/news/20250716/1,Synthetic Historical
2025-07-16,Market gains: foreign investments sector shows negative performance,"On 2025-07-16, Indian stock markets showed negative movement. Market gains: foreign investments sector shows negative performance. The NSE Nifty showed gains of 700 points. This was primarily driven by foreign investments.",CNBC TV18,Negative,https://example.com/news/20250716/4,Synthetic Historical
2025-07-16,Stock market gains: currency movements leads to negative in indices,"On 2025-07-16, Indian stock markets showed negative movement. Stock market gains: currency movements leads to negative in indices. The BSE Sensex showed gains of 500 points. This was primarily driven by currency movements.",Bloomberg,Negative,https://example.com/news/20250716/3,Synthetic Historical
2025-07-15,Market plunges: global markets sector shows mixed performance,"On 2025-07-15, Indian stock markets showed mixed movement. Market plunges: global markets sector shows mixed performance. The NSE Nifty showed plunges of 400 points. This was primarily driven by global markets.",NDTV Profit,Neutral,https://example.com/news/20250715/1,Synthetic Historical
2025-07-15,Rupee dips against dollar as markets 300,"On 2025-07-15, Indian stock markets showed negative movement. Rupee dips against dollar as markets 300. The BSE Sensex showed dips of 300 points. This was primarily driven by political developments.",Economic Times,Neutral,https://example.com/news/20250715/0,Synthetic Historical
2025-07-14,Stock market jumps: corporate announcements leads to volatile in indices,"On 2025-07-14, Indian stock markets showed volatile movement. Stock market jumps: corporate announcements leads to volatile in indices. The NSE Nifty showed jumps of 100 points. This was primarily driven by corporate announcements.",Live Mint,Neutral,https://example.com/news/20250714/1,Synthetic Historical
2025-07-14,Global cues lead to rises in Indian markets: 200,"On 2025-07-14, Indian stock markets showed volatile movement. Global cues lead to rises in Indian markets: 200. The NSE Nifty showed rises of 200 points. This was primarily driven by political developments.",ET Now,Neutral,https://example.com/news/20250714/0,Synthetic Historical
